,close,date,time
2020-11-19 11:15:00,240.18,2020-11-19,1115
2020-11-19 11:20:00,240.03,2020-11-19,1120
2020-11-19 11:25:00,240.31,2020-11-19,1125
2020-11-19 11:30:00,240.35,2020-11-19,1130
2020-11-19 13:05:00,241.79,2020-11-19,1305
2020-11-19 13:10:00,241.15,2020-11-19,1310
2020-11-19 13:15:00,241.55,2020-11-19,1315
2020-11-19 13:20:00,242.1,2020-11-19,1320
2020-11-19 13:25:00,241.81,2020-11-19,1325
2020-11-19 13:30:00,241.18,2020-11-19,1330
2020-11-19 13:35:00,241.4,2020-11-19,1335
2020-11-19 13:40:00,241.02,2020-11-19,1340
2020-11-19 13:45:00,241.5,2020-11-19,1345
2020-11-19 13:50:00,241.8,2020-11-19,1350
2020-11-19 13:55:00,242.0,2020-11-19,1355
2020-11-19 14:00:00,242.13,2020-11-19,1400
2020-11-19 14:05:00,241.19,2020-11-19,1405
2020-11-19 14:10:00,241.01,2020-11-19,1410
2020-11-19 14:15:00,241.8,2020-11-19,1415
2020-11-19 14:20:00,242.18,2020-11-19,1420
2020-11-19 14:25:00,242.01,2020-11-19,1425
2020-11-19 14:30:00,242.8,2020-11-19,1430
2020-11-19 14:35:00,242.81,2020-11-19,1435
2020-11-19 14:40:00,242.59,2020-11-19,1440
2020-11-19 14:45:00,243.2,2020-11-19,1445
2020-11-19 14:50:00,242.93,2020-11-19,1450
2020-11-19 14:55:00,242.76,2020-11-19,1455
2020-11-19 15:00:00,242.1,2020-11-19,1500
2020-11-20 09:35:00,246.4,2020-11-20,0935
2020-11-20 09:40:00,247.5,2020-11-20,0940
2020-11-20 09:45:00,248.5,2020-11-20,0945
2020-11-20 09:50:00,248.93,2020-11-20,0950
2020-11-20 09:55:00,249.95,2020-11-20,0955
2020-11-20 10:00:00,251.7,2020-11-20,1000
2020-11-20 10:05:00,248.81,2020-11-20,1005
2020-11-20 10:10:00,250.23,2020-11-20,1010
2020-11-20 10:15:00,249.5,2020-11-20,1015
2020-11-20 10:20:00,249.03,2020-11-20,1020
2020-11-20 10:25:00,248.03,2020-11-20,1025
2020-11-20 10:30:00,249.29,2020-11-20,1030
2020-11-20 10:35:00,250.28,2020-11-20,1035
2020-11-20 10:40:00,250.68,2020-11-20,1040
2020-11-20 10:45:00,250.31,2020-11-20,1045
2020-11-20 10:50:00,249.9,2020-11-20,1050
2020-11-20 10:55:00,249.13,2020-11-20,1055
2020-11-20 11:00:00,249.98,2020-11-20,1100
2020-11-20 11:05:00,249.96,2020-11-20,1105
2020-11-20 11:10:00,249.64,2020-11-20,1110
2020-11-20 11:15:00,249.94,2020-11-20,1115
